observation,Linear_Regression,Penalised_Linear_Regression_Lasso_min,Penalised_Linear_Regression_Lasso_1se,Penalised_Polynomial_Regression_Lasso_min,Penalised_Polynomial_Regression_Lasso_1se,Random_Forest,Neural_Networks,Extent
470,0.849521,0.7709113,0.7565748,0.7786817,0.7925139,0.84734783,0.86138757,0.864
471,0.8391736,0.7824787,0.7758819,0.8365229,0.8202144,0.85786567,0.88176718,0.879
472,0.9230101,0.8596898,0.8470865,0.8643531,0.8620711,0.83827742,0.84674017,0.788
473,0.7896786,0.7030911,0.6844848,0.709447,0.7254775,0.71854392,0.74331344,0.688
474,0.614523,0.5270294,0.5088934,0.6409103,0.6372119,0.58281125,0.5898458,0.561
475,0.4129164,0.3301376,0.3159306,0.4100781,0.4179615,0.36593792,0.33311415,0.321
476,0.3340448,0.2548973,0.2506653,0.2676259,0.2504264,0.21034433,0.19169245,0.117
477,0.2699499,0.192673,0.1946166,0.1613192,0.1691809,0.10460025,0.08626572,0.063
478,0.3570186,0.2762794,0.272407,0.2798692,0.2915087,0.23942867,0.2398434,0.173
479,0.5645165,0.4770254,0.4683341,0.604678,0.5928624,0.54270642,0.48927639,0.462
480,0.7466832,0.6533635,0.6258724,0.7219428,0.7165108,0.67787058,0.68229773,0.665
481,0.8773618,0.7766332,0.7377731,0.8459873,0.8291397,0.79610392,0.7837136,0.805
482,1.0085495,0.9190281,0.8763095,0.8745421,0.8819572,0.85628083,0.88456207,0.887
483,0.8784352,0.7787119,0.7394295,0.8697089,0.8292759,0.85005108,0.87532652,0.895
484,0.8449656,0.7282661,0.6872782,0.8102239,0.7742743,0.82802333,0.79415598,0.812
485,0.8104085,0.6975375,0.6576474,0.7273195,0.7237252,0.71104258,0.72067938,0.702
486,0.6441752,0.52934,0.490016,0.6127371,0.6005849,0.57330667,0.56663768,0.56
487,0.4979965,0.3909305,0.3575856,0.4345169,0.445595,0.31026133,0.32929927,0.296
488,0.3757901,0.2703222,0.2445063,0.2043441,0.1910762,0.12741433,0.13967831,0.121
489,0.3830912,0.285753,0.2671144,0.1973701,0.2056155,0.12999783,0.10828086,0.028
490,0.4677609,0.3644238,0.340394,0.3132895,0.3242348,0.24652783,0.26714961,0.137
